continous scale ebaluation for image quality																					continous evaluation scale for depth perception																		contonous evaluation scale for visual comfort																					
																																																												
																																																												
ID	AGE	SEXE	Content1	Content2	Content3	Content4	Content5	Content6	Content7	Content8	Content9	Content10	Content11	Content12	Content13	Content14	Content15	Content16			Content1	Content2	Content3	Content4	Content5	Content6	Content7	Content8	Content9	Content10	Content11	Content12	Content13	Content14	Content15	Content16			Content1	Content2	Content3	Content4	Content5	Content6	Content7	Content8	Content9	Content10	Content11	Content12	Content13	Content14	Content15	Content16						
0,00	23,00	f	80,00	52,00	100,00	85,00	62,00	59,00	51,00	62,00	89,00	52,00	92,00	26,00	98,00	98,00	80,00	89,00			50,00	90,00	85,00	55,00	35,00	60,00	34,00	45,00	43,00	55,00	45,00	50,00	70,00	100,00	80,00	90,00			80,00	70,00	60,00	60,00	90,00	80,00	66,00	60,00	90,00	45,00	45,00	70,00	70,00	100,00	70,00	100,00						
1,00	24,00	M	55,00	55,00	70,00	70,00	56,00	60,00	45,00	65,00	59,00	59,00	42,00	50,00	79,00	89,00	79,00	95,00			51,00	85,00	88,00	60,00	33,00	69,00	44,00	50,00	45,00	40,00	46,00	55,00	60,00	89,00	85,00	98,00			60,00	65,00	55,00	56,00	85,00	70,00	67,00	55,00	80,00	44,00	41,00	70,00	66,00	90,00	65,00	99,00						
2,00	24,00	M	52,00	60,00	75,00	75,00	60,00	89,00	45,00	58,00	56,00	89,00	45,00	55,00	65,00	89,00	84,00	78,00			60,00	87,00	89,00	57,00	46,00	67,00	45,00	60,00	43,00	60,00	70,00	56,00	90,00	85,00	75,00	96,00			50,00	60,00	50,00	52,00	88,00	76,00	65,00	50,00	87,00	30,00	45,00	60,00	90,00	95,00	66,00	99,00						
3,00	25,00	m	59,00	70,00	65,00	89,00	50,00	56,00	50,00	59,00	50,00	55,00	48,00	59,00	60,00	85,00	70,00	95,00			40,00	89,00	80,00	58,00	40,00	95,00	46,00	60,00	41,00	56,00	30,00	54,00	50,00	90,00	90,00	80,00			80,00	64,00	52,00	51,00	80,00	75,00	80,00	54,00	86,00	50,00	40,00	65,00	40,00	99,00	60,00	100,00						
4,00	27,00	m	58,00	78,00	60,00	80,00	60,00	57,00	45,00	50,00	45,00	90,00	47,00	70,00	62,00	87,00	65,00	99,00			51,00	95,00	75,00	58,00	60,00	55,00	43,00	55,00	46,00	64,00	45,00	52,00	65,00	98,00	88,00	79,00			70,00	68,00	54,00	55,00	89,00	70,00	100,00	56,00	85,00	100,00	41,00	66,00	55,00	95,00	65,00	80,00						
5,00	25,00	m	60,00	79,00	50,00	87,00	65,00	54,00	47,00	52,00	44,00	52,00	94,00	65,00	70,00	90,00	59,00	65,00			52,00	84,00	80,00	50,00	30,00	70,00	41,00	70,00	30,00	44,00	43,00	56,00	62,00	91,00	87,00	90,00			65,00	69,00	58,00	60,00	85,00	78,00	66,00	55,00	84,00	45,00	48,00	64,00	99,00	90,00	61,00	87,00						
6,00	35,00	m	45,00	70,00	55,00	80,00	59,00	55,00	48,00	51,00	90,00	60,00	55,00	50,00	70,00	85,00	69,00	98,00			56,00	87,00	85,00	54,00	20,00	50,00	49,00	40,00	50,00	56,00	41,00	57,00	67,00	92,00	85,00	96,00			90,00	65,00	59,00	59,00	84,00	80,00	50,00	60,00	86,00	90,00	47,00	67,00	75,00	99,00	69,00	86,00						
7,00	25,00	m	59,00	75,00	51,00	90,00	55,00	65,00	45,00	55,00	60,00	60,00	60,00	52,00	60,00	84,00	70,00	80,00			57,00	95,00	80,00	51,00	45,00	60,00	50,00	56,00	45,00	54,00	48,00	58,00	60,00	98,00	80,00	99,00			80,00	67,00	55,00	55,00	83,00	85,00	65,00	54,00	86,00	44,00	50,00	68,00	40,00	90,00	70,00	95,00						
8,00	20,00	f	55,00	80,00	70,00	85,00	50,00	60,00	46,00	45,00	55,00	45,00	45,00	50,00	55,00	85,00	69,00	89,00			50,00	80,00	79,00	80,00	44,00	67,00	30,00	54,00	41,00	57,00	49,00	54,00	68,00	95,00	83,00	100,00			80,00	70,00	50,00	56,00	87,00	75,00	67,00	55,00	85,00	45,00	90,00	65,00	50,00	95,00	50,00	98,00						
9,00	25,00	f	50,00	65,00	53,00	80,00	50,00	56,00	48,00	50,00	54,00	40,00	54,00	45,00	50,00	80,00	64,00	87,00			51,00	83,00	75,00	30,00	45,00	68,00	80,00	55,00	43,00	53,00	45,00	53,00	89,00	90,00	83,00	98,00			50,00	80,00	60,00	52,00	80,00	72,00	67,00	59,00	74,00	45,00	10,00	63,00	99,00	88,00	65,00	90,00						
10,00	27,00	m	52,00	70,00	70,00	81,00	51,00	59,00	41,00	60,00	51,00	50,00	50,00	49,00	68,00	86,00	70,00	88,00			60,00	87,00	77,00	55,00	46,00	66,00	45,00	58,00	40,00	60,00	44,00	55,00	59,00	100,00	84,00	97,00			65,00	50,00	60,00	51,00	89,00	79,00	65,00	50,00	86,00	40,00	40,00	60,00	90,00	87,00	66,00	98,00						
11,00	25,00	m	56,00	60,00	75,00	78,00	54,00	58,00	74,00	58,00	52,00	60,00	20,00	90,00	60,00	80,00	61,00	80,00			40,00	89,00	89,00	54,00	46,00	69,00	20,00	59,00	60,00	40,00	46,00	60,00	55,00	98,00	85,00	92,00			72,00	66,00	62,00	50,00	87,00	70,00	66,00	54,00	89,00	42,00	41,00	59,00	63,00	90,00	61,00	95,00						
12,00	25,00	m	50,00	71,00	80,00	90,00	60,00	51,00	41,00	59,00	58,00	6,00	26,00	45,00	70,00	85,00	60,00	85,00			54,00	85,00	80,00	52,00	42,00	70,00	44,00	70,00	45,00	50,00	43,00	40,00	75,00	94,00	90,00	90,00			90,00	68,00	58,00	59,00	88,00	76,00	60,00	55,00	86,00	41,00	30,00	60,00	40,00	95,00	67,00	97,00						
13,00	26,00	m	57,00	70,00	75,00	89,00	65,00	59,00	41,00	50,00	45,00	59,00	40,00	50,00	75,00	89,00	90,00	90,00			58,00	99,00	85,00	51,00	50,00	90,00	46,00	40,00	44,00	66,00	44,00	90,00	68,00	97,00	75,00	85,00			45,00	69,00	58,00	58,00	80,00	75,00	62,00	60,00	89,00	40,00	60,00	65,00	35,00	96,00	66,00	99,00						
14,00	21,00	m	50,00	55,00	65,00	80,00	59,00	89,00	50,00	54,00	60,00	52,00	59,00	59,00	80,00	84,00	79,00	95,00			45,00	85,00	75,00	55,00	57,00	76,00	47,00	55,00	43,00	50,00	45,00	55,00	60,00	94,00	80,00	80,00			77,00	65,00	59,00	57,00	87,00	74,00	65,00	70,00	85,00	48,00	48,00	67,00	68,00	100,00	65,00	100,00						
